Room,BlockStart,StudentCount,Ratio,RequiredStaff,day_of_week,week_of_year,lag_1,lag_7,LowerBound,UpperBound,Anomaly,Date
Pre-K2,2022-01-11 07:30:00,1,12,2,1,2,1.0,1.0,-0.5,3.5,Normal,2022-01-11
Pre-K1,2022-01-11 07:30:00,1,12,2,1,2,1.0,1.0,-0.5,3.5,Normal,2022-01-11
Pennie Preschool 1,2022-01-11 07:30:00,1,10,2,1,2,1.0,1.0,-0.5,3.5,Normal,2022-01-11
Wild Things,2022-01-11 07:30:00,1,10,2,1,2,1.0,1.0,-2.0,6.0,Normal,2022-01-11
Grampy Tom Preschool,2022-01-11 07:30:00,1,10,2,1,2,1.0,1.0,-0.5,3.5,Normal,2022-01-11
Dinosaur Stomp,2022-01-11 07:30:00,2,12,2,1,2,1.0,1.0,-2.0,6.0,Normal,2022-01-11
Pennie Preschool 1,2022-01-11 08:00:00,1,10,2,1,2,2.0,1.0,-0.5,3.5,Normal,2022-01-11
Dinosaur Stomp,2022-01-11 08:00:00,2,12,2,1,2,1.0,1.0,-2.0,6.0,Normal,2022-01-11
Pre-K2,2022-01-11 08:00:00,1,12,2,1,2,2.0,1.0,-0.5,3.5,Normal,2022-01-11
Wild Things,2022-01-11 08:00:00,1,10,2,1,2,1.0,1.0,-2.0,6.0,Normal,2022-01-11
Dinosaur Stomp,2022-01-11 08:30:00,2,12,2,1,2,1.0,1.0,-2.0,6.0,Normal,2022-01-11
Pre-K2,2022-01-11 08:30:00,1,12,2,1,2,2.0,1.0,-0.5,3.5,Normal,2022-01-11
Pre-K2,2022-01-11 09:00:00,1,12,2,1,2,1.0,2.0,-0.5,3.5,Normal,2022-01-11
Dinosaur Stomp,2022-01-11 09:00:00,1,12,2,1,2,1.0,1.0,-2.0,6.0,Normal,2022-01-11
Pre-K2,2022-01-11 09:30:00,1,12,2,1,2,1.0,2.0,-0.5,3.5,Normal,2022-01-11
Pre-K2,2022-01-11 10:00:00,1,12,2,1,2,1.0,1.0,-0.5,3.5,Normal,2022-01-11
Pre-K2,2022-01-13 07:30:00,2,12,2,3,2,1.0,1.0,-0.5,3.5,Normal,2022-01-13
Pre-K1,2022-01-13 07:30:00,1,12,2,3,2,2.0,2.0,-0.5,3.5,Normal,2022-01-13
Wild Things,2022-01-13 07:30:00,1,10,2,3,2,1.0,1.0,-2.0,6.0,Normal,2022-01-13
Grampy Tom Preschool,2022-01-13 07:30:00,1,10,2,3,2,1.0,1.0,-0.5,3.5,Normal,2022-01-13
Pennie Preschool 1,2022-01-13 07:30:00,1,10,2,3,2,1.0,1.0,-0.5,3.5,Normal,2022-01-13
Dinosaur Stomp,2022-01-13 07:30:00,2,12,2,3,2,1.0,1.0,-2.0,6.0,Normal,2022-01-13
Grampy Tom Preschool,2022-01-13 08:00:00,1,10,2,3,2,2.0,1.0,-0.5,3.5,Normal,2022-01-13
Pennie Preschool 1,2022-01-13 08:00:00,1,10,2,3,2,1.0,2.0,-0.5,3.5,Normal,2022-01-13
Wild Things,2022-01-13 08:00:00,1,10,2,3,2,1.0,1.0,-2.0,6.0,Normal,2022-01-13
Pre-K2,2022-01-13 08:00:00,2,12,2,3,2,1.0,1.0,-0.5,3.5,Normal,2022-01-13
Dinosaur Stomp,2022-01-13 08:00:00,3,12,2,3,2,2.0,1.0,-2.0,6.0,Normal,2022-01-13
Pre-K1,2022-01-13 08:30:00,1,12,2,3,2,3.0,1.0,-0.5,3.5,Normal,2022-01-13
Pennie Preschool 1,2022-01-13 08:30:00,1,10,2,3,2,1.0,2.0,-0.5,3.5,Normal,2022-01-13
Pre-K1,2022-01-13 09:00:00,1,12,2,3,2,1.0,1.0,-0.5,3.5,Normal,2022-01-13
Pre-K1,2022-01-13 09:30:00,1,12,2,3,2,1.0,1.0,-0.5,3.5,Normal,2022-01-13
Pre-K2,2022-01-19 07:30:00,2,12,2,2,3,1.0,1.0,-0.5,3.5,Normal,2022-01-19
Wild Things,2022-01-19 07:30:00,3,10,2,2,3,2.0,2.0,-2.0,6.0,Normal,2022-01-19
Pre-K1,2022-01-19 07:30:00,3,12,2,2,3,3.0,3.0,-0.5,3.5,Normal,2022-01-19
Dinosaur Stomp,2022-01-19 07:30:00,1,12,2,2,3,3.0,1.0,-2.0,6.0,Normal,2022-01-19
Pre-K1,2022-01-19 08:00:00,1,12,2,2,3,1.0,1.0,-0.5,3.5,Normal,2022-01-19
Pre-K2,2022-01-19 08:00:00,2,12,2,2,3,1.0,1.0,-0.5,3.5,Normal,2022-01-19
Wild Things,2022-01-19 08:00:00,3,10,2,2,3,2.0,1.0,-2.0,6.0,Normal,2022-01-19
Dinosaur Stomp,2022-01-19 08:00:00,3,12,2,2,3,3.0,2.0,-2.0,6.0,Normal,2022-01-19
Dinosaur Stomp,2022-01-19 08:30:00,1,12,2,2,3,3.0,3.0,-2.0,6.0,Normal,2022-01-19
Pre-K2,2022-01-19 08:30:00,1,12,2,2,3,1.0,3.0,-0.5,3.5,Normal,2022-01-19
Wild Things,2022-01-19 08:30:00,1,10,2,2,3,1.0,1.0,-2.0,6.0,Normal,2022-01-19
Pre-K2,2022-01-19 09:00:00,1,12,2,2,3,1.0,1.0,-0.5,3.5,Normal,2022-01-19
Pre-K2,2022-01-19 09:30:00,1,12,2,2,3,1.0,2.0,-0.5,3.5,Normal,2022-01-19
Pre-K2,2022-01-25 07:00:00,1,12,2,1,4,1.0,3.0,-0.5,3.5,Normal,2022-01-25
Wild Things,2022-01-25 07:30:00,1,10,2,1,4,1.0,3.0,-2.0,6.0,Normal,2022-01-25
Dinosaur Stomp,2022-01-25 07:30:00,3,12,2,1,4,1.0,1.0,-2.0,6.0,Normal,2022-01-25
Pre-K1,2022-01-25 07:30:00,2,12,2,1,4,3.0,1.0,-0.5,3.5,Normal,2022-01-25
Pennie Preschool 1,2022-01-25 07:30:00,1,10,2,1,4,2.0,1.0,-0.5,3.5,Normal,2022-01-25
Pre-K2,2022-01-25 08:00:00,2,12,2,1,4,1.0,1.0,-0.5,3.5,Normal,2022-01-25
Dinosaur Stomp,2022-01-25 08:00:00,5,12,2,1,4,2.0,1.0,-2.0,6.0,Normal,2022-01-25
Pre-K1,2022-01-25 08:00:00,1,12,2,1,4,5.0,1.0,-0.5,3.5,Normal,2022-01-25
Pre-K2,2022-01-25 08:30:00,1,12,2,1,4,1.0,1.0,-0.5,3.5,Normal,2022-01-25
Wild Things,2022-01-25 08:30:00,1,10,2,1,4,1.0,3.0,-2.0,6.0,Normal,2022-01-25
Pre-K1,2022-01-25 08:30:00,1,12,2,1,4,1.0,2.0,-0.5,3.5,Normal,2022-01-25
Dinosaur Stomp,2022-01-25 08:30:00,2,12,2,1,4,1.0,1.0,-2.0,6.0,Normal,2022-01-25
Grampy Tom Preschool,2022-01-27 07:00:00,1,10,2,3,4,2.0,2.0,-0.5,3.5,Normal,2022-01-27
Dinosaur Stomp,2022-01-27 07:30:00,1,12,2,3,4,1.0,5.0,-2.0,6.0,Normal,2022-01-27
Pre-K1,2022-01-27 07:30:00,1,12,2,3,4,1.0,1.0,-0.5,3.5,Normal,2022-01-27
Grampy Tom Preschool,2022-01-27 07:30:00,1,10,2,3,4,1.0,1.0,-0.5,3.5,Normal,2022-01-27
Dinosaur Stomp,2022-01-27 08:00:00,4,12,2,3,4,1.0,1.0,-2.0,6.0,Normal,2022-01-27
Wild Things,2022-01-27 08:00:00,2,10,2,3,4,4.0,1.0,-2.0,6.0,Normal,2022-01-27
Pre-K2,2022-01-27 08:00:00,2,12,2,3,4,2.0,2.0,-0.5,3.5,Normal,2022-01-27
Grampy Tom Preschool,2022-01-27 08:00:00,1,10,2,3,4,2.0,1.0,-0.5,3.5,Normal,2022-01-27
Pre-K2,2022-01-27 08:30:00,1,12,2,3,4,1.0,1.0,-0.5,3.5,Normal,2022-01-27
Pre-K1,2022-01-27 08:30:00,1,12,2,3,4,1.0,1.0,-0.5,3.5,Normal,2022-01-27
Dinosaur Stomp,2022-01-27 08:30:00,2,12,2,3,4,1.0,1.0,-2.0,6.0,Normal,2022-01-27
Wild Things,2022-01-27 08:30:00,2,10,2,3,4,2.0,4.0,-2.0,6.0,Normal,2022-01-27
Pennie Preschool 1,2022-01-27 08:30:00,2,10,2,3,4,2.0,2.0,-0.5,3.5,Normal,2022-01-27
Pre-K2,2022-01-31 07:00:00,2,12,2,0,5,2.0,2.0,-0.5,3.5,Normal,2022-01-31
Pre-K1,2022-01-31 07:00:00,1,12,2,0,5,2.0,1.0,-0.5,3.5,Normal,2022-01-31
Pre-K1,2022-01-31 07:30:00,1,12,2,0,5,1.0,1.0,-0.5,3.5,Normal,2022-01-31
Pennie Preschool 1,2022-01-31 07:30:00,2,10,2,0,5,1.0,1.0,-0.5,3.5,Normal,2022-01-31
Dinosaur Stomp,2022-01-31 07:30:00,1,12,2,0,5,2.0,2.0,-2.0,6.0,Normal,2022-01-31
Wild Things,2022-01-31 07:30:00,1,10,2,0,5,1.0,2.0,-2.0,6.0,Normal,2022-01-31
Grampy Tom Preschool,2022-01-31 07:30:00,1,10,2,0,5,1.0,2.0,-0.5,3.5,Normal,2022-01-31
Pre-K2,2022-01-31 07:30:00,2,12,2,0,5,1.0,2.0,-0.5,3.5,Normal,2022-01-31
Grampy Tom Preschool,2022-01-31 08:00:00,1,10,2,0,5,2.0,1.0,-0.5,3.5,Normal,2022-01-31
Wild Things,2022-01-31 08:00:00,2,10,2,0,5,1.0,1.0,-2.0,6.0,Normal,2022-01-31
Dinosaur Stomp,2022-01-31 08:00:00,2,12,2,0,5,2.0,2.0,-2.0,6.0,Normal,2022-01-31
Pre-K2,2022-01-31 08:00:00,2,12,2,0,5,2.0,1.0,-0.5,3.5,Normal,2022-01-31
Wild Things,2022-01-31 08:30:00,1,10,2,0,5,2.0,1.0,-2.0,6.0,Normal,2022-01-31
Pre-K2,2022-02-02 07:00:00,2,12,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Pennie Preschool 1,2022-02-02 07:30:00,2,10,2,2,5,2.0,2.0,-0.5,3.5,Normal,2022-02-02
Pre-K2,2022-02-02 07:30:00,2,12,2,2,5,2.0,1.0,-0.5,3.5,Normal,2022-02-02
Pre-K1,2022-02-02 07:30:00,1,12,2,2,5,2.0,2.0,-0.5,3.5,Normal,2022-02-02
Dinosaur Stomp,2022-02-02 07:30:00,1,12,2,2,5,1.0,2.0,-2.0,6.0,Normal,2022-02-02
Wild Things,2022-02-02 08:00:00,1,10,2,2,5,1.0,2.0,-2.0,6.0,Normal,2022-02-02
Pennie Preschool 1,2022-02-02 08:00:00,1,10,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Pre-K1,2022-02-02 08:00:00,1,12,2,2,5,1.0,2.0,-0.5,3.5,Normal,2022-02-02
Grampy Tom Preschool,2022-02-02 08:00:00,1,10,2,2,5,1.0,2.0,-0.5,3.5,Normal,2022-02-02
Pre-K2,2022-02-02 08:00:00,1,12,2,2,5,1.0,2.0,-0.5,3.5,Normal,2022-02-02
Grampy Tom Preschool,2022-02-02 08:30:00,1,10,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Wild Things,2022-02-02 08:30:00,1,10,2,2,5,1.0,1.0,-2.0,6.0,Normal,2022-02-02
Pre-K2,2022-02-02 08:30:00,1,12,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Dinosaur Stomp,2022-02-02 08:30:00,1,12,2,2,5,1.0,1.0,-2.0,6.0,Normal,2022-02-02
Pre-K1,2022-02-02 08:30:00,1,12,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Pre-K1,2022-02-02 09:00:00,1,12,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Grampy Tom Preschool,2022-02-02 09:00:00,1,10,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Grampy Tom Preschool,2022-02-02 09:30:00,1,10,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Pre-K1,2022-02-02 09:30:00,1,12,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Pre-K1,2022-02-02 10:00:00,1,12,2,2,5,1.0,1.0,-0.5,3.5,Normal,2022-02-02
Dinosaur Stomp,2022-02-08 07:30:00,2,12,2,1,6,1.0,1.0,-2.0,6.0,Normal,2022-02-08
Pre-K1,2022-02-08 07:30:00,1,12,2,1,6,2.0,1.0,-0.5,3.5,Normal,2022-02-08
Pennie Preschool 1,2022-02-08 07:30:00,1,10,2,1,6,1.0,1.0,-0.5,3.5,Normal,2022-02-08
Pre-K2,2022-02-08 07:30:00,2,12,2,1,6,1.0,1.0,-0.5,3.5,Normal,2022-02-08
Wild Things,2022-02-08 07:30:00,1,10,2,1,6,2.0,1.0,-2.0,6.0,Normal,2022-02-08
Dinosaur Stomp,2022-02-08 08:00:00,4,12,2,1,6,1.0,1.0,-2.0,6.0,Normal,2022-02-08
Grampy Tom Preschool,2022-02-08 08:00:00,1,10,2,1,6,4.0,1.0,-0.5,3.5,Normal,2022-02-08
Wild Things,2022-02-08 08:00:00,2,10,2,1,6,1.0,2.0,-2.0,6.0,Normal,2022-02-08
Pre-K2,2022-02-08 08:00:00,2,12,2,1,6,2.0,1.0,-0.5,3.5,Normal,2022-02-08
Pre-K2,2022-02-08 08:30:00,1,12,2,1,6,2.0,1.0,-0.5,3.5,Normal,2022-02-08
Dinosaur Stomp,2022-02-08 08:30:00,2,12,2,1,6,1.0,2.0,-2.0,6.0,Normal,2022-02-08
Pre-K1,2022-02-08 08:30:00,1,12,2,1,6,2.0,1.0,-0.5,3.5,Normal,2022-02-08
Grampy Tom Preschool,2022-02-08 08:30:00,1,10,2,1,6,1.0,4.0,-0.5,3.5,Normal,2022-02-08
Dinosaur Stomp,2022-02-08 09:00:00,1,12,2,1,6,1.0,1.0,-2.0,6.0,Normal,2022-02-08
Pre-K2,2022-02-10 07:30:00,1,12,2,3,6,1.0,2.0,-0.5,3.5,Normal,2022-02-10
Wild Things,2022-02-10 07:30:00,1,10,2,3,6,1.0,2.0,-2.0,6.0,Normal,2022-02-10
Pennie Preschool 1,2022-02-10 07:30:00,2,10,2,3,6,1.0,1.0,-0.5,3.5,Normal,2022-02-10
Dinosaur Stomp,2022-02-10 07:30:00,2,12,2,3,6,2.0,2.0,-2.0,6.0,Normal,2022-02-10
Pennie Preschool 1,2022-02-10 08:00:00,3,10,2,3,6,2.0,1.0,-0.5,3.5,Normal,2022-02-10
Pre-K2,2022-02-10 08:00:00,1,12,2,3,6,3.0,1.0,-0.5,3.5,Normal,2022-02-10
Wild Things,2022-02-10 08:00:00,2,10,2,3,6,1.0,1.0,-2.0,6.0,Normal,2022-02-10
Dinosaur Stomp,2022-02-10 08:00:00,5,12,2,3,6,2.0,1.0,-2.0,6.0,Normal,2022-02-10
Wild Things,2022-02-10 08:30:00,1,10,2,3,6,5.0,1.0,-2.0,6.0,Normal,2022-02-10
Pre-K1,2022-02-10 08:30:00,1,12,2,3,6,1.0,2.0,-0.5,3.5,Normal,2022-02-10
Dinosaur Stomp,2022-02-10 08:30:00,3,12,2,3,6,1.0,2.0,-2.0,6.0,Normal,2022-02-10
Grampy Tom Preschool,2022-02-10 08:30:00,1,10,2,3,6,3.0,3.0,-0.5,3.5,Normal,2022-02-10
Dinosaur Stomp,2022-02-10 09:00:00,1,12,2,3,6,1.0,1.0,-2.0,6.0,Normal,2022-02-10
Dinosaur Stomp,2022-02-10 09:30:00,1,12,2,3,6,1.0,2.0,-2.0,6.0,Normal,2022-02-10
Dinosaur Stomp,2022-02-10 10:00:00,1,12,2,3,6,1.0,5.0,-2.0,6.0,Normal,2022-02-10
Dinosaur Stomp,2022-02-14 07:00:00,1,12,2,0,7,1.0,1.0,-2.0,6.0,Normal,2022-02-14
Pre-K1,2022-02-14 07:30:00,1,12,2,0,7,1.0,1.0,-0.5,3.5,Normal,2022-02-14
Pre-K2,2022-02-14 07:30:00,3,12,2,0,7,1.0,3.0,-0.5,3.5,Normal,2022-02-14
Pennie Preschool 1,2022-02-14 07:30:00,1,10,2,0,7,3.0,1.0,-0.5,3.5,Normal,2022-02-14
Dinosaur Stomp,2022-02-14 07:30:00,1,12,2,0,7,1.0,1.0,-2.0,6.0,Normal,2022-02-14
Pre-K2,2022-02-14 08:00:00,1,12,2,0,7,1.0,1.0,-0.5,3.5,Normal,2022-02-14
Wild Things,2022-02-14 08:00:00,3,10,2,0,7,1.0,1.0,-2.0,6.0,Normal,2022-02-14
Dinosaur Stomp,2022-02-14 08:00:00,2,12,2,0,7,3.0,1.0,-2.0,6.0,Normal,2022-02-14
Grampy Tom Preschool,2022-02-14 08:00:00,2,10,2,0,7,2.0,1.0,-0.5,3.5,Normal,2022-02-14
Pre-K1,2022-02-14 08:00:00,1,12,2,0,7,2.0,3.0,-0.5,3.5,Normal,2022-02-14
Dinosaur Stomp,2022-02-14 08:30:00,2,12,2,0,7,1.0,1.0,-2.0,6.0,Normal,2022-02-14
Wild Things,2022-02-14 08:30:00,3,10,2,0,7,2.0,1.0,-2.0,6.0,Normal,2022-02-14
Grampy Tom Preschool,2022-02-14 08:30:00,1,10,2,0,7,3.0,1.0,-0.5,3.5,Normal,2022-02-14
Dinosaur Stomp,2022-02-16 07:00:00,1,12,2,2,7,1.0,3.0,-2.0,6.0,Normal,2022-02-16
Grampy Tom Preschool,2022-02-16 07:30:00,2,10,2,2,7,1.0,2.0,-0.5,3.5,Normal,2022-02-16
Dinosaur Stomp,2022-02-16 07:30:00,6,12,2,2,7,2.0,2.0,-2.0,6.0,Normal,2022-02-16
Pre-K1,2022-02-16 07:30:00,1,12,2,2,7,6.0,1.0,-0.5,3.5,Normal,2022-02-16
Wild Things,2022-02-16 07:30:00,1,10,2,2,7,1.0,2.0,-2.0,6.0,Normal,2022-02-16
Wild Things,2022-02-16 08:00:00,1,10,2,2,7,1.0,3.0,-2.0,6.0,Normal,2022-02-16
Dinosaur Stomp,2022-02-16 08:00:00,4,12,2,2,7,1.0,1.0,-2.0,6.0,Normal,2022-02-16
Pre-K2,2022-02-16 08:00:00,2,12,2,2,7,4.0,1.0,-0.5,3.5,Normal,2022-02-16
Pennie Preschool 1,2022-02-16 08:00:00,2,10,2,2,7,2.0,2.0,-0.5,3.5,Normal,2022-02-16
Grampy Tom Preschool,2022-02-16 08:00:00,2,10,2,2,7,2.0,6.0,-0.5,3.5,Normal,2022-02-16
Pre-K1,2022-02-16 08:30:00,1,12,2,2,7,2.0,1.0,-0.5,3.5,Normal,2022-02-16
Grampy Tom Preschool,2022-02-16 08:30:00,1,10,2,2,7,1.0,1.0,-0.5,3.5,Normal,2022-02-16
Pennie Preschool 1,2022-02-16 08:30:00,1,10,2,2,7,1.0,1.0,-0.5,3.5,Normal,2022-02-16
Dinosaur Stomp,2022-02-16 08:30:00,3,12,2,2,7,1.0,4.0,-2.0,6.0,Normal,2022-02-16
Pennie Preschool 1,2022-02-22 07:00:00,1,10,2,1,8,3.0,2.0,-0.5,3.5,Normal,2022-02-22
Dinosaur Stomp,2022-02-22 07:30:00,2,12,2,1,8,1.0,2.0,-2.0,6.0,Normal,2022-02-22
Pennie Preschool 1,2022-02-22 07:30:00,2,10,2,1,8,2.0,2.0,-0.5,3.5,Normal,2022-02-22
Pre-K2,2022-02-22 07:30:00,1,12,2,1,8,2.0,1.0,-0.5,3.5,Normal,2022-02-22
Wild Things,2022-02-22 07:30:00,1,10,2,1,8,1.0,1.0,-2.0,6.0,Normal,2022-02-22
Pre-K2,2022-02-22 08:00:00,2,12,2,1,8,1.0,1.0,-0.5,3.5,Normal,2022-02-22
Dinosaur Stomp,2022-02-22 08:00:00,2,12,2,1,8,2.0,3.0,-2.0,6.0,Normal,2022-02-22
Wild Things,2022-02-22 08:00:00,1,10,2,1,8,2.0,1.0,-2.0,6.0,Normal,2022-02-22
Pennie Preschool 1,2022-02-22 08:00:00,1,10,2,1,8,1.0,2.0,-0.5,3.5,Normal,2022-02-22
Dinosaur Stomp,2022-02-22 08:30:00,1,12,2,1,8,1.0,2.0,-2.0,6.0,Normal,2022-02-22
Pennie Preschool 1,2022-02-22 08:30:00,1,10,2,1,8,1.0,1.0,-0.5,3.5,Normal,2022-02-22
Wild Things,2022-02-22 08:30:00,1,10,2,1,8,1.0,1.0,-2.0,6.0,Normal,2022-02-22
Pre-K1,2022-02-22 08:30:00,1,12,2,1,8,1.0,2.0,-0.5,3.5,Normal,2022-02-22
Dinosaur Stomp,2022-02-22 09:00:00,1,12,2,1,8,1.0,2.0,-2.0,6.0,Normal,2022-02-22
Grampy Tom Preschool,2022-02-22 09:00:00,1,10,2,1,8,1.0,1.0,-0.5,3.5,Normal,2022-02-22
Pre-K2,2022-02-24 07:00:00,1,12,2,3,8,1.0,1.0,-0.5,3.5,Normal,2022-02-24
Dinosaur Stomp,2022-02-24 07:30:00,4,12,2,3,8,1.0,1.0,-2.0,6.0,Normal,2022-02-24
Pre-K1,2022-02-24 07:30:00,1,12,2,3,8,4.0,1.0,-0.5,3.5,Normal,2022-02-24
Pennie Preschool 1,2022-02-24 07:30:00,1,10,2,3,8,1.0,1.0,-0.5,3.5,Normal,2022-02-24
Pre-K2,2022-02-24 07:30:00,2,12,2,3,8,1.0,1.0,-0.5,3.5,Normal,2022-02-24
Grampy Tom Preschool,2022-02-24 07:30:00,2,10,2,3,8,2.0,1.0,-0.5,3.5,Normal,2022-02-24
Wild Things,2022-02-24 07:30:00,2,10,2,3,8,2.0,1.0,-2.0,6.0,Normal,2022-02-24
Pennie Preschool 1,2022-02-24 08:00:00,2,10,2,3,8,2.0,1.0,-0.5,3.5,Normal,2022-02-24
Wild Things,2022-02-24 08:00:00,2,10,2,3,8,2.0,4.0,-2.0,6.0,Normal,2022-02-24
Pre-K2,2022-02-24 08:00:00,2,12,2,3,8,2.0,1.0,-0.5,3.5,Normal,2022-02-24
Grampy Tom Preschool,2022-02-24 08:00:00,1,10,2,3,8,2.0,1.0,-0.5,3.5,Normal,2022-02-24
Dinosaur Stomp,2022-02-24 08:00:00,5,12,2,3,8,1.0,2.0,-2.0,6.0,Normal,2022-02-24
Dinosaur Stomp,2022-02-24 08:30:00,1,12,2,3,8,5.0,2.0,-2.0,6.0,Normal,2022-02-24
Wild Things,2022-02-24 08:30:00,1,10,2,3,8,1.0,2.0,-2.0,6.0,Normal,2022-02-24
Pre-K2,2022-02-24 08:30:00,1,12,2,3,8,1.0,2.0,-0.5,3.5,Normal,2022-02-24
Grampy Tom Preschool,2022-02-24 08:30:00,1,10,2,3,8,1.0,2.0,-0.5,3.5,Normal,2022-02-24
Grampy Tom Preschool,2022-02-24 09:00:00,1,10,2,3,8,1.0,2.0,-0.5,3.5,Normal,2022-02-24
Pre-K2,2022-02-24 11:00:00,1,12,2,3,8,1.0,1.0,-0.5,3.5,Normal,2022-02-24
Pre-K1,2022-02-28 07:00:00,1,12,2,0,9,1.0,5.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 07:00:00,1,10,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 07:30:00,1,10,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Pre-K2,2022-02-28 07:30:00,1,12,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Pre-K1,2022-02-28 07:30:00,2,12,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Pre-K2,2022-02-28 08:00:00,2,12,2,0,9,2.0,1.0,-0.5,3.5,Normal,2022-02-28
Wild Things,2022-02-28 08:00:00,1,10,2,0,9,2.0,1.0,-2.0,6.0,Normal,2022-02-28
Dinosaur Stomp,2022-02-28 08:00:00,1,12,2,0,9,1.0,1.0,-2.0,6.0,Normal,2022-02-28
Pre-K1,2022-02-28 08:00:00,1,12,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 08:00:00,1,10,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Wild Things,2022-02-28 08:30:00,1,10,2,0,9,1.0,1.0,-2.0,6.0,Normal,2022-02-28
Pre-K1,2022-02-28 08:30:00,1,12,2,0,9,1.0,2.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 08:30:00,2,10,2,0,9,1.0,2.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 09:00:00,1,10,2,0,9,2.0,1.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 09:30:00,1,10,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 10:00:00,1,10,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 10:30:00,1,10,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-02-28 11:00:00,1,10,2,0,9,1.0,1.0,-0.5,3.5,Normal,2022-02-28
Grampy Tom Preschool,2022-03-02 07:30:00,2,10,2,2,9,1.0,1.0,-0.5,3.5,Normal,2022-03-02
Dinosaur Stomp,2022-03-02 07:30:00,5,12,2,2,9,2.0,2.0,-2.0,6.0,Normal,2022-03-02
Pennie Preschool 1,2022-03-02 07:30:00,1,10,2,2,9,5.0,1.0,-0.5,3.5,Normal,2022-03-02
Wild Things,2022-03-02 07:30:00,3,10,2,2,9,1.0,1.0,-2.0,6.0,Normal,2022-03-02
Dinosaur Stomp,2022-03-02 08:00:00,7,12,2,2,9,3.0,1.0,-2.0,6.0,High,2022-03-02
